ID,問題,難易度,解答,別答,意味,同音異義語用
I0096,【フルイ】に掛ける,◆１,篩,,"👉ふるいにかける。
多くの中から、基準を設けて選別し、基準に合わないものを除くこと。〈新明解故事ことわざ辞典〉
★「篩」は、粒上のものを振り動かしてより分ける、網を張った道具。
★篩をつかって粒などの大小をより分けることから。
＊『米欧回覧実記〈久米邦武〉一･五』",フルイ
I0097,【ヘンプク】を修飾する,◆１,辺幅,,"👉へんぷくをしゅうしょくする。
うわべや外見を立派に飾り立て、見栄を張ること。〈新明解故事ことわざ辞典〉
★「辺幅」は、布や織物のへりの部分のこと。
★中心的な部分でない所を飾る意から。
＊『後漢書-馬援伝』",ヘンプク
I0098,骨折り損の【クタビ】れ儲け,◆１,草臥,,"👉ほねおりぞんのくたびれもうけ。
労力ばかりかかってなんの利益もなく、ただくたびれただけである。〈漢字ペディア〉
＊『歌舞伎･玉藻前御園公服-六立』",クタビ
I0099,【リュウイン】が下がる,◆１,溜飲,,"👉りゅういんがさがる。
胸のつかえとなっていた不平や不満がなくなって、気持ちが晴れること。〈漢字ペディア〉
★「溜飲」は、胃の具合が悪くて、口にすっぱい液が出ること。また、その液。
＊『歌舞伎･黒手組曲輪達引-二幕』",リュウイン
I0100,【ジダ】に触れる,◆１,耳朶,,"👉じだにふれる。
耳にはいる。聞き及ぶ。聞こえる。〈故事俗信ことわざ大辞典〉
★「耳朶」は、耳たぶ、または耳。
＊『東京日日新聞-明治三〇年･一月七日』",ジダ
I0101,【タンカ】を切る,◆１,啖呵,啗呵,"👉たんかをきる。
胸のすくような、鋭く歯切れのよい口調で話す。鋭い勢いでまくしたてる。また、威勢よくののしる。〈故事俗信ことわざ大辞典〉
★痰の出る病気を痰火といい、これを治療するのを「痰火を切る」といって、胸がすっきりするところからいう。「啖呵」は、当て字。
＊『滑稽本･客者評判記』",タンカ
I0102,【ココ】の声をあげる,◆１,呱呱,,"👉ここのこえをあげる。
赤ん坊が産声をあげる。転じて、子供が生まれる。誕生する。〈故事俗信ことわざ大辞典〉
★「呱呱」は、乳児の泣き声を表わす語。
＊『雲は天才である〈石川啄木〉一』",ココ
I0103,眼光【ケイケイ】として人を射る,◆１,炯炯,,"👉がんこうけいけいとしてひとをいる。
目が鋭く光り、人を威圧する。〈故事俗信ことわざ大辞典〉
＊不明",ケイケイ
I0104,【ラチ】が明く,◆１,埒,,"👉らちがあく。
物事の決着がつく。きまりがつく。はかどる。〈漢字ペディア〉
＊『雑俳･川柳評万句合-宝暦一二-梅二』",ラチ
I0105,【トウ】が立つ,◆１,薹,,"👉とうがたつ。
時期が過ぎて食べ頃でなくなってしまう。転じて、人が、そのことに最適の年齢が過ぎてしまう。〈故事俗信ことわざ大辞典〉
★「薹」は、菜やふきの花軸、花茎。
★野菜などの花茎が伸びる意。
＊『歌舞伎･染繮竹春駒-三幕』",トウ
I0106,【カイジン】に帰す,◆１,灰燼,,"👉かいじんにきす。
焼けて原形をとどめないほどになる。あとかたもなく燃え尽きる。〈故事俗信ことわざ大辞典〉
★「灰燼」は、灰と燃えかす。
＊『実隆公記-文明九年･一一月二二日』",カイジン
I0107,【ゲンチ】を取る,◆１,言質,,"👉げんちをとる。
あとで証拠になる約束のことばをいわせる。約束させる。〈故事俗信ことわざ大辞典〉
＊不明",ゲンチ
I0108,財布の底を【ハタ】く,◆１,叩,,"👉さいふのそこをはたく。
持っている金を使いはたす。ありがねを全部使う。〈故事俗信ことわざ大辞典〉
＊『怪談牡丹燈籠〈三遊亭円朝〉一八』",ハタ
I0109,【ネハン】に入る,◆１,涅槃,,"👉ねはんにいる。
釈迦が入滅する。また、広く人が死ぬこと。〈故事俗信ことわざ大辞典〉
＊『観智院本三宝絵-上』",ネハン
I0110,【タタラ】を踏む,◆１,蹈鞴,踏鞴,"👉たたらをふむ。
1.たたらを踏んで空気を吹き送る。
2.勢いよく突いたり打ったりした的がはずれ、力があまって、から足を踏む。〈故事俗信ことわざ大辞典〉
★「蹈鞴･踏鞴」は、足で踏み、風を送る大きなふいご。
＊『宇津保-吹上上』",タタラ
I0111,【インジュ】を解く,◆１,印綬,,"👉いんじゅをとく。
官職をやめること。辞任すること。〈漢字ペディア〉
★本来、印綬を体からはずすことをいい、官職に就くことを「印綬を佩(ｵ)びる」という。
＊『後漢書-賈琮伝』",インジュ
I0112,耳に【タコ】ができる,◆１,腁胝,胼胝,"👉みみにたこができる。
繰り返し何度も同じことを聞かされていやになる。〈故事俗信ことわざ大辞典〉
＊『雑俳･柳多留-二〇』",タコ
I0113,【メッキ】が剝げる,◆１,鍍,鍍金,"👉めっきがはげる。
外面のかざりがとれて、悪い中身が現われる。本性(ﾎﾝｼｮｳ)が現われる。〈故事俗信ことわざ大辞典〉
＊『諺語大辞典』",メッキ
I0114,人口に【カイシャ】す,◆１,膾炙,,"👉じんこうにかいしゃす。
世の中の多くの人の話題になり、もてはやされること。〈漢字ペディア〉
★「膾炙」は、なますと炙(ｱﾌﾞ)り肉のことで、だれもが好む食べ物の例。詩文などが多くの人の口にのぼるたとえ。
＊『林嵩-周朴詩集序』",カイシャ
I0115,【ノ】るか反るか,◆１,伸,,"👉のるかそるか。
成功するか、あるいは失敗するか、度胸をきめて事にのぞむこと。また、運を天にまかせてやってみること。〈漢字ペディア〉
＊『俳諧･続五色墨』",ノ
I0116,孟母【サンセン】の教え,◆１,三遷,,"👉もうぼさんせんのおしえ。
子どもの教育には良い環境を選ぶことが大切であるというたとえ。孟母三遷。〈漢字ペディア〉
★「三遷」は、三度転居する意。
★孟子(ﾓｳｼ)の母は悪い環境の影響が子に及ぶのを避けるため、墓地の近くから市場の近くに、そして学校の近くへと住居を三度移した故事から。
＊『古列女伝-母儀･鄒孟軻母』",サンセン
I0117,【ヨタ】を飛ばす,◆１,与太,,"👉よたをとばす。
でたらめをいう。つまらないことをいう。デマを飛ばす。〈故事俗信ことわざ大辞典〉
★「与太」は、与太郎(ﾖﾀﾛｳ)の略。人形浄瑠璃社会で、うそ、でたらめをいう隠語。
＊『明治大正見聞史〈生方敏郎〉明治大帝の崩御･八』",ヨタ
I0118,【ヤクタイ】も無い,◆１,益体,,"👉やくたいもない。
つまらないこと、役に立たないことの意。〈漢字ペディア〉
＊『咄本･醒睡笑-六』",ヤクタイ
I0119,流れに【サオ】さす,◆１,棹,,"👉ながれにさおさす。
ある物事を、機に乗じて思いどおりに順調に進めることのたとえ。〈故事俗信ことわざ大辞典〉
★流れに乗って棹を操り、舟を進める意から。
＊『太平記-三一･新田起義兵事』",サオ
I0120,【タモト】を分かつ,◆１,袂,,"👉たもとをわかつ。
今までいっしょだった人と関係を絶つ。また、行動を共にしていた人と別れて別々の道を行く。分袂(ﾌﾞﾝﾍﾞｲ)。〈故事俗信ことわざ大辞典〉
＊『杜甫-寄賀蘭銛詩』",タモト
I0121,【ヨ】りを戻す,◆１,撚,縒,"👉よりをもどす。
1.縒(ﾖ)り合わせたものをほどいてもとに戻す。
2.物事をもとの状態にする。特に、男女の仲を元通りにする。〈大辞泉〉
＊『洒落本･禁現大福帳-二』",ヨ
I0122,【バク】の札,◆１,貘,獏,"👉ばくのふだ。
バクの形を描いた札。寝所に敷けば悪夢を避けるとして節分や大晦日などの夜にそれを敷いて寝る風習があった。〈故事俗信ことわざ大辞典〉
＊『俳諧･桜川-春一』",バク
I0123,【ヒンシュク】を買う,◆１,顰蹙,,"👉ひんしゅくをかう。
相手にいやがられる。〈漢字ペディア〉
★「顰蹙」は、顔をしかめて不快感を表すこと。
＊『故旧忘れ得べき〈高見順〉一』",ヒンシュク
I0124,【フエツ】を加える,◆１,斧鉞,,"👉ふえつをくわえる。
他人の文章を修正する。〈漢字ペディア〉
＊『渋江抽斎〈森鷗外〉六八』",フエツ
I0125,【フクシャ】の戒め,◆１,覆車,,"👉ふくしゃのいましめ。
先人の失敗を見て、教訓とするたとえ。〈漢字ペディア〉
★前の車の転覆は後続の車の戒めとなる意から。
＊『晉書-庾純伝』",フクシャ
I0126,【フンイン】を惜しむ,◆１,分陰,,"👉ふんいんをおしむ。
たとえわずかな時間でも、惜しんで無駄に使わない。〈漢字ペディア〉
★「分陰」は、ちょっとの時間。寸陰。
★中国古代の聖人、夏(ｶ)の禹(ｳ)王さえ、寸陰を惜しんだのだから、凡人は分陰をも惜しむべきであるという、晋(ｼﾝ)の陶侃(ﾄｳｶﾝ)の言葉から。
＊『十八史略-東晋･明帝』",フンイン
I0127,身の毛が【ヨダ】つ,◆１,弥立,,"👉みのけがよだつ。
寒さや恐ろしさのために緊張してからだの毛がさか立つ。また、そのように恐ろしさにぞっとする。戦慄(ｾﾝﾘﾂ)する。身の毛立つ。〈故事俗信ことわざ大辞典〉
＊『平家-三･御産』",ヨダ
I0128,【ソッポ】を向く,◆１,外方,,"👉そっぽをむく。
賛成や協力をしない。〈漢字ペディア〉
＊『くれの廿八日〈内田魯庵〉三』",ソッポ
I0129,【トナン】の翼,◆１,図南,,"👉となんのつばさ。
遠くの地で大事業をしようとする志･計画。〈大辞林〉
＊『駱賓王-夏日遊徳州贈高四詩』",トナン
I0130,【ネジ】が緩む,◆１,螺子,"螺旋
捻子
捩子
捩","👉ねじがゆるむ。
緊張がゆるんでだらしなくなるさまのたとえ。心がたるむ。〈故事俗信ことわざ大辞典〉
＊『名張少女〈田山花袋〉七』",ネジ
I0131,【ラクイン】を押される,◆１,烙印,,"👉らくいんをおされる。
ぬぐい去ることのできない汚名を受ける。また、周囲からそうであると決められてしまう。〈故事俗信ことわざ大辞典〉
★「烙印」は、熱した鉄製の印を押しつけてつけた印。刑罰として罪人の顔などにつけた。
★烙印を押され印刻される意。
＊『国籍〈竹山道雄〉』",ラクイン
