ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0066,【実正】,⇔,"きっそう
ばつご
きょたん",◆１,虚誕,"▼【実正】ジッショウ
1.偽りのないこと。まちがいのないこと。たしかなこと。また、そのさま。真実。
2.本当に。まことに。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔虚誕〕キョタン
まったくのでたらめ。おおげさなつくりごと。≒虚言〈漢字ペディア〉
◇漢字ペディア大見出し
●H23-3㈦"
H0067,【受禅】,⇔,"えきさく
さんだつ
せんそ",◆１,"簒奪
篡奪","▼【受禅】ジュゼン
前帝の位を譲り受けること。新帝が即位すること。〈漢字ペディア〉
★「禅」は、譲る意。
◇漢字ペディア大見出し","▼〔簒奪〕サンダツ
君主を滅ぼして地位や権力を手に入れること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-3㈦"
H0068,【周到】,⇔,"はつらつ
ちし
うかつ",◆１,"迂闊
迂濶","▼【周到】シュウトウ
準備や用意がすみずみまで行きとどき、不備のないさま。≒綿密、周密〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔迂闊〕ウカツ
┌1.間が抜けて実際の役に立たない。
└2.(国)うっかりする。不注意である。〈漢字源〉
┌1.うっかりしていて心の行き届かないこと。また、そのさま。
└2.回り遠くて実情にそぐわないこと。実際の役に立たないこと。また、そのさま。〈大辞泉〉
┌注意力が足りずに、うっかりしているさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-3㈦"
H0069,【終末】,⇔,"わいしょう
かいびゃく
しい",◆１,開闢,"▼【終末】シュウマツ
物事の終わり。最後。≒終尾、結末⇔発端〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔開闢〕カイビャク
1.天地が開いた始まり。この世の始まり。≒創世
2.物事の始まり。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈦"
H0070,【重痾】,⇔,"びよう
けいそう
びんしょう",◆１,微恙,"▼【重痾】ジュウア
重い病気。重病。大病。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔微恙〕ビヨウ
┌軽い病気。〈漢字源〉
┌軽い病気。気分が少しすぐれないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-1㈦"
H0071,【駿馬】,⇔,"いっそく
りょうち
どたい",◆１,駑駘,"▼【駿馬】シュンメ／シュンバ
足の速いすぐれた馬。≒駿足〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔駑駘〕ドタイ
┌1.のろい馬。
└2.転じて、才能が劣っていること。また、その人。〈大辞林〉
┌駄馬。〈字通〉
┌≒駑馬
├1.のろい馬。鈍い馬。
└2.鈍才。劣った人。〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-1㈦"
H0072,【醇厚】,⇔,"りんらく
ぎょうはく
かくせい",◆１,澆薄,"▼【醇厚／淳厚】ジュンコウ
まごころがあり手厚いこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔澆薄〕ギョウハク
人に対して薄情なこと。人情が薄いこと。≒澆漓〈漢字ペディア〉
◇漢字ペディア大見出し
●H28-3㈦"
H0073,【醇篤】,⇔,"ぎょうはく
えんかん
じゅうあ",◆１,澆薄,"▼【醇篤】ジュントク
手厚くねんごろ。≒醇厚〈字源〉","▼〔澆薄〕ギョウハク
人に対して薄情なこと。人情が薄いこと。≒澆漓〈漢字ペディア〉
◇漢字ペディア大見出し
●R02-2㈦"
H0074,【醇朴】,⇔,"ろうかい
あつれき
だくろう",◆１,老獪,"▼【醇朴】ジュンボク
人情があつく素朴なこと。≒純朴、淳朴〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔老獪〕ロウカイ
長い経験から世間慣れして、ずる賢いこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈦"
H0075,【緒言】,⇔,"ばつご
るじゅつ
ねいげん",◆１,跋語,"▼【緒言】ショゲン／チョゲン
1.論説のいとぐち。
2.前書き。はし書き。 ≒序文、序言〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔跋語〕バツゴ
書物のあとがきとしてしるす言葉。跋文。跋。〈大辞泉〉
●H16-3㈦／●H26-1㈦"
H0076,【少壮】,⇔,"だいてん
ろうもう
しゅっき",◆１,老耄,"▼【少壮】ショウソウ
年が若く、勢いの盛んなこと。また、その人。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔老耄〕ロウモウ／ロウボウ
おいぼれること。年老いてほうけた人。おいぼれ。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-3㈦／●H17-2㈦／●H19-3㈦／●H24-3㈦"
H0077,【称讃】,⇔,"せんよ
ばり
かいご",◆１,罵詈,"▼【称讃／称賛／賞讃／賞賛】ショウサン
ほめたたえること。ほめそやすこと。≒称揚〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔罵詈〕バリ
┌口汚くののしること。また、その言葉。ののしり。〈大辞泉〉
┌ののしること。悪口を言うこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈦"
H0078,【信憑】,⇔,"きゅうせき
さいぎ
ろうぜき",◆１,猜疑,"▼【信憑】シンピョウ
信頼してよりどころとすること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔猜疑〕サイギ
人の行いなどを素直に受け取れず、ねたんだり、うたがったりすること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H26-1㈦"
H0079,【進捗】,⇔,"けいかん
げきたい
こうちゃく",◆１,"膠着
膠著","▼【進捗／進陟】シンチョク
1.進みはかどること。はかがゆくこと。進行。進展。
2.官位などをすすめのぼすこと。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔膠着／膠著〕コウチャク
1.にかわでつけたように、しっかりとつくこと。
2.状況が固定して進展しないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-2㈦"
H0080,【進陟】,⇔,"たいじ
けいちゅう
へんちゅつ",◆１,貶黜,"▼【進陟／進捗】シンチョク
1.進みはかどること。はかがゆくこと。進行。進展。
2.官位などをすすめのぼすこと。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔貶黜〕ヘンチュツ／ヘンチツ
┌官位を下げて、しりぞけること。貶斥(ﾍﾝｾｷ)。へんちつ。〈大辞泉〉
┌官職を取りあげ、官界から追い出す。≒貶斥〈漢辞海〉
┌官位を下げ、しりぞけること。≒貶退、貶斥〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-2㈦"
H0081,【清浄】,⇔,"たんい
げきせき
おわい",◆１,汚穢,"▼【清浄】セイジョウ／ショウジョウ
清らかで汚れのないこと。≒清潔、⇔不浄〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔汚穢〕オワイ／オアイ
┌1.よごれていること。けがれていること。
└2.大小便。糞尿。〈漢字ペディア〉
┌1.けがる。けがれ。
└2.けがす。〈字源〉
◇漢字ペディア大見出し
●H16-1㈦"
H0082,【生誕】,⇔,"しっとう
ようげつ
しゅうえん",◆１,終焉,"▼【生誕】セイタン
人間が生まれること。≒誕生〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔終焉〕シュウエン
1.死にぎわ。臨終。転じて、物事の終わり。
2.身の落ち着く所。晩年を静かに過ごすこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-2㈦"
H0083,【精進】,⇔,"けんせき
かんじ
けたい",◆１,懈怠,"▼【精進】ショウジン
1.(仏)一心に仏道に励むこと。
2.(仏)戒律を守ったり禁忌を避けたりして心身を清め、信仰に励むこと。
3.あることに打ちこんでひたすら励むこと。
4.肉や魚を食べないこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔懈怠〕ケタイ／ケダイ／カイタイ
┌仏語。善行を収めるのに積極的でない心の状態。精進に対していう。〈大辞泉〉
┌1.心がゆるんでおこたること。なまけること。≒懈惰、怠懈
└2.仏教で修行をおこたること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-3㈦⇔"
H0084,【先考】,⇔,"せんぴ
はいだつ
さいじ",◆１,先妣,"▼【先考】センコウ
亡くなった父。≒亡父、先父、⇔先妣〈漢字ペディア〉★「考」は、死んだ父の意。
◇漢字ペディア大見出し","▼〔先妣〕センピ
亡き母。⇔先考〈漢字ペディア〉
★「妣」は、母あるいは亡き母の意。
◇漢字ペディア大見出し
●H30-2㈦"
H0085,【先人】,⇔,"じゅえい
こうこん
じんしょう",◆１,後昆,"▼【先人】センジン
1.昔の人。前代の人。前人。⇔後人
2.祖先。
3.亡父。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔後昆〕コウコン
後世。また、後々の人。子孫。後裔(ｺｳｴｲ)。〈日本国語大辞典〉
★後も昆も、のち(後)の意。
◇漢字ペディア小見出し
●H27-1㈦"
H0086,【詮要】,⇔,"へきとう
わいさ
ひょうりゃく",◆１,猥瑣,"▼【詮要】センヨウ
つきつめた要点。かんじんの大事。専要。〈日本国語大辞典〉","▼〔猥瑣〕ワイサ
こまかなつまらないこと。こまごまとしたくだらないこと。また、そのさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●R01-2㈦"
H0087,【善良】,⇔,"さたん
あくらつ
ぼくとつ",◆１,悪辣,"▼【善良】ゼンリョウ
よい性質。正直でまじめなこと。また、そのさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔悪辣〕アクラツ
やり方があくどいこと。ひどく悪質でたちのわるいこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈦／●H18-1㈦"
H0088,【禅譲】,⇔,"かしゃく
ほうばつ
しょうじょう",◆１,放伐,"▼【禅譲】ゼンジョウ
1.古代中国で、天子の位を世襲でなく有徳者に譲ること。
2.権力者がその地位を後継者に譲ること。≒譲位〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔放伐〕ホウバツ
1.敵を討ち滅ぼすこと。
2.中国で昔、悪政を行う天子を帝位から追放すること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H19-3㈦／●H26-1㈦"
H0089,【祖先】,⇔,"りかん
だいそ
まつえい",◆１,末裔,"▼【祖先】ソセン
1.家系の第一代。先祖。 ≒初代、始祖
2.家系の初代から亡くなった先代までの人々。先祖。⇔子孫、後裔〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔末裔〕マツエイ／バツエイ
子孫。≒後裔、末孫〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈦"
H0090,【聡慧】,⇔,"しゅんぐ
むげ
えいりょ",◆１,蠢愚,"▼【聡慧】ソウケイ
非常に聡明なこと。きわめて才知のあること。≒聡明〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔蠢愚〕シュング
無知でおろかなこと。また、その人。≒暗愚、⇔英明〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-2㈦"
H0091,【騒擾】,⇔,"せいひつ
あつれき
けんかい",◆１,静謐,"▼【騒擾】ソウジョウ
┌集団で騒ぎを起こし、社会の秩序を乱すこと。≒騒乱、擾乱〈大辞泉〉
┌大勢でさわぎを起こし、秩序を乱すこと。≒騒乱、騒動〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔静謐〕セイヒツ
静かで落ち着いていること。世の中が平和に治まっていること。≒平穏、静穏〈漢字ペディア〉
◇漢字ペディア大見出し●H14-3㈦"
H0092,【退隠】,⇔,"しゅつろ
らんしょう
こうれい",◆１,出廬,"▼【退隠】タイイン
官途または世間の仕事から退いてひまな身になること。隠退。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。
◇漢字ペディア大見出し
●H23-1㈦"
H0093,【大腹中】,⇔,"あいこう
こうちゅう
けんきょう",◆１,狷狭,"▼【大腹中】ダイフクチュウ／ダイブクチュウ
度量の大きいこと。気が大きくてこせこせしないこと。、また、そうしたさま。太っ腹。〈日本国語大辞典〉","▼〔狷狭〕ケンキョウ
気がみじかく、心が狭いこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-2㈦"
H0094,【大咎】,⇔,"ようちょう
ひせき
えんえき",◆１,丕績,"▼【大咎】タイキュウ
義未詳。
★大きな咎(ﾄｶﾞ)の意か。大罪。","▼〔丕績〕ヒセキ
┌偉大な功績。〈漢字源〉
┌偉大な功績。偉績。大功。〈大辞泉〉
┌大きな功績。偉大な手柄。偉績。〈日本国語大辞典〉
◇漢字ペディア小見出し
●H24-3㈦"
H0095,【大廈】,⇔,"ひんく
ぎょうはく
わいおく",◆１,矮屋,"▼【大廈】タイカ
┌大きな建物。〈漢字源〉
┌大いなる家屋。〈字源〉
◇漢字ペディア下付き","▼〔矮屋〕ワイオク
屋根が低い小さな家。小屋。みすぼらしい家。また、自分の家を謙遜していう語。〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-3㈦"
